code,name,continent,region,surfacearea,indepyear,population,lifeexpectancy,gnp,gnpold,localname,governmentform,headofstate,capital,code2
AFG,Afghanistan,Asia,Southern and Central Asia,652090,1919,22720000,45.900002,5976.00,,Afganistan/Afqanestan,Islamic Emirate,Mohammad Omar,1,AF
NLD,Netherlands,Europe,Western Europe,41526,1581,15864000,78.300003,371362.00,360478.00,Nederland,Constitutional Monarchy,Beatrix,5,NL
